E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
96079.00 eV ; 20.00625 eV ; 3.661934 % ; 0.306685 % ; 0.03661934 ; 0.003066850
96473.70 eV ; 9.000000 eV ; 0.03037676 % ; 0.002587704 % ; 0.0003037676 ; 0.00002587704
102849.0 eV ; 30.00417 eV ; 0.673475 % ; 0.05925218 % ; 0.006734750 ; 0.0005925218
111579.0 eV ; 40.00312 eV ; 0.283689 % ; 0.0317758 % ; 0.002836890 ; 0.0003177580
115981.5 eV ; 7.006426 eV ; 1.276537 % ; 0.1229785 % ; 0.01276537 ; 0.001229785
119889.0 eV ; 1000.000 eV ; 5.6564E-4 % ; 1.483311E-4 % ; 0.000005656400 ; 0.000001483311
124781.5 eV ; 200.0002 eV ; 0.011613 % ; 0.008772077 % ; 0.0001161300 ; 0.00008772077
126226.3 eV ; 7.034913 eV ; 0.3030053 % ; 0.02916464 % ; 0.003030053 ; 0.0002916464
127465.5 eV ; 15.00300 eV ; 0.0274762 % ; 0.008109789 % ; 0.0002747620 ; 0.00008109789
128709.9 eV ; 7.011420 eV ; 0.07416599 % ; 0.007142099 % ; 0.0007416599 ; 0.00007142099
129356.7 eV ; 7.000000 eV ; 0.01262752 % ; 0.001216833 % ; 0.0001262752 ; 0.00001216833
132849.0 eV ; 150.0008 eV ; 0.0682481 % ; 0.01682781 % ; 0.0006824810 ; 0.0001682781
135026.3 eV ; 200.0012 eV ; 0.002844 % ; 0.002246263 % ; 0.00002844000 ; 0.00002246263
137509.9 eV ; 200.0004 eV ; 7.11E-4 % ; 5.554056E-4 % ; 0.000007110000 ; 0.000005554056
137710.3 eV ; 15.01632 eV ; 0.0066834 % ; 0.002492302 % ; 0.00006683400 ; 0.00002492302
137889.0 eV ; 1000.000 eV ; 0.00470129 % ; 0.001334387 % ; 0.00004701290 ; 0.00001334387
138156.7 eV ; 200.0000 eV ; 1.1376E-4 % ; 8.420308E-5 % ; 0.000001137600 ; 8.420308E-7
140193.9 eV ; 15.00533 eV ; 0.00163372 % ; 5.226128E-4 % ; 0.00001633720 ; 0.000005226128
140840.7 eV ; 15.00000 eV ; 2.67336E-4 % ; 7.434297E-5 % ; 0.000002673360 ; 7.434297E-7
143539.0 eV ; 50.00250 eV ; 0.1117929 % ; 0.009613446 % ; 0.001117929 ; 0.00009613446
145629.0 eV ; 80.00156 eV ; 0.0651434 % ; 0.00713259 % ; 0.0006514340 ; 0.00007132590
147559.0 eV ; 80.00156 eV ; 0.0508681 % ; 0.009600808 % ; 0.0005086810 ; 0.00009600808
158771.5 eV ; 20.00225 eV ; 0.6009941 % ; 0.05035486 % ; 0.006009941 ; 0.0005035486
165541.5 eV ; 30.00150 eV ; 0.1767625 % ; 0.01486613 % ; 0.001767625 ; 0.0001486613
168889.0 eV ; 1000.000 eV ; 7.9E-4 % ; 5.461113E-4 % ; 0.000007900000 ; 0.000005461113
169016.3 eV ; 20.01225 eV ; 0.1385597 % ; 0.01162329 % ; 0.001385597 ; 0.0001162329
171499.9 eV ; 20.00400 eV ; 0.03405974 % ; 0.002852762 % ; 0.0003405974 ; 0.00002852762
172146.7 eV ; 20.00000 eV ; 0.006027005 % ; 5.049374E-4 % ; 0.00006027005 ; 0.000005049374
174271.5 eV ; 40.00113 eV ; 0.05916942 % ; 0.005356269 % ; 0.0005916942 ; 0.00005356269
175786.3 eV ; 30.00817 eV ; 0.04256125 % ; 0.003595565 % ; 0.0004256125 ; 0.00003595565
178269.9 eV ; 30.00267 eV ; 0.0103885 % ; 8.744296E-4 % ; 0.0001038850 ; 0.000008744296
178916.7 eV ; 30.00000 eV ; 0.001728125 % ; 1.454727E-4 % ; 0.00001728125 ; 0.000001454727
182581.5 eV ; 1000.000 eV ; 4.5504E-4 % ; 1.195638E-4 % ; 0.000004550400 ; 0.000001195638
184516.3 eV ; 40.00612 eV ; 0.01398181 % ; 0.001272591 % ; 0.0001398181 ; 0.00001272591
